# Server version 0.08 running on felixs-mbp-2.lan:8123
# Game ID: 49
# Board class: pentago_twist.PentagoBoard
# Timeout: 20000
# First Move Timeout: 30000
# Date: Mon Mar 29 10:40:11 EDT 2021
# Player 1: Player-0, 'RandomPlayer', running on localhost
# Player 2: Player-1, 'MonteCarlo 260865674', running on localhost
START Player-0 RandomPlayer
START Player-1 MonteCarlo 260865674
1 0 2 0 0
3 5 3 0 1
0 2 1 0 0
4 3 2 1 1
3 5 0 1 0
4 5 1 1 1
1 3 2 1 0
5 0 2 0 1
5 3 1 1 0
1 0 0 1 1
4 1 0 0 0
2 5 3 0 1
4 3 2 1 0
0 5 2 0 1
3 2 0 0 0
2 1 0 1 1
5 1 0 0 0
1 3 3 0 1
3 1 3 0 0
2 2 1 0 1
1 4 0 0 0
0 3 1 1 1
4 0 3 0 0
3 4 0 0 1
GAMEOVER WINNER 1
# Game ended: Mon Mar 29 10:40:34 EDT 2021
